department_id,department_name,department_head,location_floor,phone_extension,budget_annual,staff_count,bed_capacity,specialization_type
CARD,Cardiology,Dr. Sarah Chen,2,2201,2500000,25,30,Cardiac Care
EMER,Emergency Department,Dr. Michael Torres,1,1101,3200000,45,15,Emergency Medicine
ORTH,Orthopedics,Dr. Jennifer Park,3,3301,1800000,20,25,Bone and Joint
OBGY,Obstetrics & Gynecology,Dr. Amanda Rodriguez,4,4401,2100000,30,20,Women's Health
NEUR,Neurology,Dr. Robert Kim,5,5501,2800000,22,20,Neurological Care
GAST,Gastroenterology,Dr. Lisa Wang,3,3302,1600000,18,15,Digestive Health
PEDI,Pediatrics,Dr. Mark Thompson,2,2202,2200000,28,25,Child Care
ONCO,Oncology,Dr. Patricia Davis,4,4402,3500000,35,20,Cancer Treatment
PSYC,Psychiatry,Dr. James Wilson,1,1102,1400000,15,10,Mental Health
RADI,Radiology,Dr. Maria Gonzalez,B1,0101,2000000,20,0,Medical Imaging
